Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.3666784333840256,0.17905058004424645,100.09333556378802,-0.32,0.45,3140,3140,3140,3140,3.67,1.79,0.93,13.6
0.2,0.7832323504786167,0.38245556295300875,100.18957497006524,-0.32,0.45,3080,3080,3080,3080,4.17,2.03,0.96,13.6
0.3,1.2564457986912128,0.6135276268462939,100.28880856275697,-0.32,0.45,3102,3102,3102,3102,4.73,2.31,0.99,13.6
0.4,1.794025589396686,0.8760300392668028,100.39112949655556,-0.32,0.45,3123,3123,3123,3123,5.38,2.63,1.02,13.6
0.5,2.404726811998263,1.1742379462096781,100.49663382436863,-0.32,0.45,3163,3163,3163,3163,6.11,2.98,1.06,13.6
0.6,3.0984954203710324,1.5130079976665567,100.60542058748786,-0.32,0.45,3137,3137,3137,3137,6.94,3.39,1.09,13.6
0.7,3.8866302138680817,1.8978574436139461,100.71759190856322,-0.32,0.45,3197,3197,3197,3197,7.88,3.85,1.12,13.6
0.8,4.781966850931489,2.335053988612745,100.83325308746973,-0.32,0.45,3257,3257,3257,3257,8.95,4.37,1.16,13.6
0.9,5.799086892176077,2.8317178684017685,100.95251270015677,-0.32,0.45,3250,3250,3250,3250,10.17,4.97,1.19,13.6
1.0,6.954555277446818,3.395937810917013,101.07548270057292,-0.32,0.45,3310,3310,3310,3310,11.55,5.64,1.23,13.6
1.1,8.176816722060236,3.992773077731168,101.20227852576168,-0.32,0.45,3364,3364,3364,3364,12.22,5.97,1.27,13.6
1.2,9.399078166673654,4.589608344545322,101.3330192042271,-0.32,0.45,3304,3304,3304,3304,12.22,5.97,1.31,13.6
1.3,10.621339611287073,5.1864436113594765,101.46782746767072,-0.32,0.45,3364,3364,3364,3364,12.22,5.97,1.35,13.6
1.4,11.843601055900493,5.783278878173631,101.60682986620493,-0.33,0.45,3323,3323,3323,3323,12.22,5.97,1.39,13.6
1.5,13.065862500513912,6.380114144987785,101.75015688715084,-0.33,0.45,3383,3383,3383,3383,12.22,5.97,1.43,13.6
1.6,14.288123945127332,6.9769494118019395,101.89794307753209,-0.33,0.45,3371,3371,3371,3371,12.22,5.97,1.48,13.6
1.7,15.510385389740751,7.573784678616094,102.05032717037979,-0.33,0.45,3431,3431,3431,3431,12.22,5.97,1.52,13.6
1.8,16.73264683435417,8.170619945430248,102.2074522149669,-0.33,0.45,3371,3371,3371,3371,12.22,5.97,1.57,13.6
1.9,17.95490827896759,8.767455212244403,102.3694657110946,-0.33,0.45,3431,3431,3431,3431,12.22,5.97,1.62,13.6
2.0,19.17716972358101,9.364290479058559,102.53651974755643,-0.33,0.45,3456,3456,3456,3456,12.22,5.97,1.67,13.6
2.1,20.39943116819443,9.961125745872714,102.70877114491032,-0.33,0.45,3432,3432,3432,3432,12.22,5.97,1.72,13.6
2.2,21.62169261280785,10.557961012686869,102.88638160269264,-0.33,0.45,3492,3492,3492,3492,12.22,5.97,1.78,13.6
2.3,22.843954057421268,11.154796279501024,103.06951785121221,-0.33,0.45,3444,3444,3444,3444,12.22,5.97,1.83,13.6
2.4,24.066215502034687,11.75163154631518,103.25835180806699,-0.33,0.45,3504,3504,3504,3504,12.22,5.97,1.89,13.6
2.5,25.288476946648107,12.348466813129335,103.45306073953022,-0.33,0.45,3564,3564,3564,3564,12.22,5.97,1.95,13.6
2.6,26.510738391261526,12.94530207994349,103.65382742695768,-0.33,0.45,3504,3504,3504,3504,12.22,5.97,2.01,13.6
2.7,27.732999835874946,13.542137346757645,103.8608403383721,-0.34,0.45,3564,3564,3564,3564,12.22,5.97,2.07,13.6
2.8,28.955261280488365,14.1389726135718,104.07429380538595,-0.34,0.45,3594,3594,3594,3594,12.22,5.97,2.13,13.6
2.9,30.177522725101785,14.735807880385956,104.29438820562854,-0.34,0.45,3569,3569,3569,3569,12.22,5.97,2.2,13.6
3.0,31.399784169715204,15.33264314720011,104.52133015084887,-0.34,0.45,3629,3629,3629,3629,12.22,5.97,2.27,13.6
3.1,32.62204561432862,15.929478414014266,104.75533268087064,-0.34,0.45,3626,3626,3626,3626,12.22,5.97,2.34,13.6
3.2,33.844307058942036,16.52631368082842,104.99661546358153,-0.34,0.45,3686,3686,3686,3686,12.22,5.97,2.41,13.6
3.3,35.06656850355545,17.123148947642573,105.24540500114466,-0.34,0.45,3626,3626,3626,3626,12.22,5.97,2.49,13.6
3.4,36.28882994816887,17.719984214456726,105.50193484262546,-0.34,0.45,3686,3686,3686,3686,12.22,5.97,2.57,13.6
3.5,37.51109139278228,18.31681948127088,105.76644580323394,-0.34,0.45,3746,3746,3746,3746,12.22,5.97,2.65,13.6
3.6,38.7333528373957,18.913654748085033,106.03918619038791,-0.34,0.45,3716,3716,3716,3716,12.22,5.97,2.73,13.6
3.7,39.955614282009115,19.510490014899187,106.32041203680949,-0.34,0.45,3776,3776,3776,3776,12.22,5.97,2.81,13.6
3.8,41.17787572662253,20.10732528171334,106.61038734087357,-0.34,0.45,3836,3836,3836,3836,12.22,5.97,2.9,13.6
3.9,42.40013717123595,20.704160548527494,106.90938431443412,-0.34,0.45,3776,3776,3776,3776,12.22,5.97,2.99,13.6
4.0,43.62239861584936,21.300995815341647,107.21768363836074,-0.34,0.45,3836,3836,3836,3836,12.22,5.97,3.08,13.6
4.1,44.84466006046278,21.8978310821558,107.5288021843208,-0.34,0.45,3896,3896,3896,3896,12.22,5.97,3.11,13.6
4.2,46.066921505076195,22.494666348969954,107.83992073028085,-0.34,0.45,3836,3836,3836,3836,12.22,5.97,3.11,13.6
4.3,47.28918294968961,23.091501615784107,108.15103927624091,-0.34,0.45,3896,3896,3896,3896,12.22,5.97,3.11,13.6
4.4,48.51144439430303,23.68833688259826,108.46215782220096,-0.34,0.45,3836,3836,3836,3836,12.22,5.97,3.11,13.6
4.5,49.73370583891644,24.285172149412414,108.77327636816102,-0.35,0.45,3896,3896,3896,3896,12.22,5.97,3.11,13.6
4.6,50.95596728352986,24.882007416226568,109.08439491412108,-0.35,0.45,3836,3836,3836,3836,12.22,5.97,3.11,13.6
4.7,52.178228728143274,25.47884268304072,109.39551346008113,-0.35,0.45,3896,3896,3896,3896,12.22,5.97,3.11,13.6
4.8,53.40049017275669,26.075677949854875,109.70663200604119,-0.35,0.45,3836,3836,3836,3836,12.22,5.97,3.11,13.6
4.9,54.622751617370106,26.672513216669028,110.01775055200125,-0.35,0.45,3896,3896,3896,3896,12.22,5.97,3.11,13.6
5.0,55.84501306198352,27.26934848348318,110.3288690979613,-0.35,0.45,3836,3836,3836,3836,12.22,5.97,3.11,13.6
5.1,57.06727450659694,27.866183750297335,110.63998764392136,-0.35,0.45,3896,3896,3896,3896,12.22,5.97,3.11,13.6
5.2,58.289535951210354,28.46301901711149,110.95110618988141,-0.35,0.45,3836,3836,3836,3836,12.22,5.97,3.11,13.6
5.3,59.51179739582377,29.05985428392564,111.26222473584147,-0.35,0.45,3896,3896,3896,3896,12.22,5.97,3.11,13.6
5.4,60.734058840437186,29.656689550739795,111.57334328180153,-0.35,0.45,3836,3836,3836,3836,12.22,5.97,3.11,13.6
5.5,61.9563202850506,30.25352481755395,111.88446182776158,-0.35,0.45,3896,3896,3896,3896,12.22,5.97,3.11,13.6
5.6,63.17858172966402,30.850360084368102,112.19558037372164,-0.35,0.45,3836,3836,3836,3836,12.22,5.97,3.11,13.6
5.7,64.40084317427744,31.447195351182256,112.5066989196817,-0.35,0.45,3896,3896,3896,3896,12.22,5.97,3.11,13.6
