Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.21550895949092996,0.011649132945455673,100.24,-0.31,0.05,2160,2160,2160,2160,2.16,0.12,2.4,7.19
0.2,0.446521890075115,0.024136318382438647,100.49919999999999,-0.3,0.05,2220,2220,2220,2220,2.31,0.12,2.59,7.19
0.3,0.694154165889335,0.037521846804828916,100.77913599999998,-0.3,0.05,2280,2280,2280,2280,2.48,0.13,2.8,7.19
0.4,0.9596014024135398,0.05187034607640756,101.08146687999998,-0.3,0.05,2340,2340,2340,2340,2.65,0.14,3.02,7.19
0.5,1.244145229128599,0.06725109346641076,101.40798423039998,-0.3,0.05,2400,2400,2400,2400,2.85,0.15,3.27,7.19
0.6,1.549159477465921,0.08373835013329303,101.76062296883197,-0.3,0.05,2460,2460,2460,2460,3.05,0.16,3.53,7.19
0.7,1.8761168139255342,0.10141171967165051,102.14147280633853,-0.29,0.05,2520,2520,2520,2520,3.27,0.18,3.81,7.19
0.8,2.22659585038858,0.12035653245343676,102.5527906308456,-0.29,0.05,2580,2580,2580,2580,3.5,0.19,4.11,7.19
0.9,2.6022887659541496,0.14066425761914322,102.99701388131325,-0.29,0.05,2640,2640,2640,2640,3.76,0.2,4.44,7.19
1.0,3.0050094771001366,0.16243294470811548,103.47677499181832,-0.29,0.05,2700,2700,2700,2700,4.03,0.22,4.8,7.19
1.1,3.436702395615188,0.18576769706028043,103.99491699116378,-0.28,0.05,2760,2760,2760,2760,4.32,0.23,5.18,7.19
1.2,3.8994518165867045,0.210781179274957,104.55451035045688,-0.28,0.05,2820,2820,2820,2820,4.63,0.25,5.6,7.19
1.3,4.395491981771873,0.237594161176858,105.15887117849343,-0.28,0.05,2880,2880,2880,2880,4.96,0.27,6.04,7.19
1.4,4.927217866939594,0.2663361009156537,105.81158087277291,-0.27,0.05,2940,2940,2940,2940,5.32,0.29,6.53,7.19
1.5,5.497196745266621,0.2971457700144119,106.51650734259474,-0.27,0.05,3000,3000,3000,3000,5.7,0.31,7.05,7.19
1.6,6.1081805826181945,0.3301719233847672,107.27782793000232,-0.26,0.05,3060,3060,3060,3060,6.11,0.33,7.61,7.19
1.7,6.763119324559911,0.36557401754377894,108.07782793000231,-0.26,0.05,3120,3120,3120,3120,6.55,0.35,8.0,7.19
1.8,7.465175139253049,0.4035229805001648,108.87782793000231,-0.25,0.05,3180,3180,3180,3180,7.02,0.38,8.0,7.19
1.9,8.183538337556149,0.4423534236516837,109.67782793000231,-0.25,0.05,3240,3240,3240,3240,7.18,0.39,8.0,7.19
2.0,8.901901535859249,0.4811838668032026,110.4778279300023,-0.24,0.05,3300,3300,3300,3300,7.18,0.39,8.0,7.19
