Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.3644824382825388,0.1298730527213644,100.24,-0.36,0.34,2160,2160,2160,2160,3.64,1.3,2.4,12.9
0.2,0.7759745488542619,0.2764966783273807,100.49919999999999,-0.36,0.34,2220,2220,2220,2220,4.11,1.47,2.59,12.9
0.3,1.2405394751114596,0.4420313072236235,100.77913599999998,-0.36,0.34,2280,2280,2280,2280,4.65,1.66,2.8,12.9
0.4,1.765022363516043,0.6289160145861762,101.08146687999998,-0.36,0.34,2340,2340,2340,2340,5.24,1.87,3.02,12.9
0.5,2.3571512236205625,0.8399044589912348,101.40798423039998,-0.36,0.34,2400,2400,2400,2400,5.92,2.11,3.27,12.9
0.6,3.025650796667098,1.0781054562836783,101.76062296883197,-0.36,0.34,2460,2460,2460,2460,6.68,2.38,3.53,12.9
0.7,3.780371110560457,1.347028786521542,102.14147280633853,-0.36,0.34,2520,2520,2520,2520,7.55,2.69,3.81,12.9
0.8,4.632432615412966,1.6506369089402522,102.5527906308456,-0.36,0.34,2580,2580,2580,2580,8.52,3.04,4.11,12.9
0.9,5.59439003816508,1.9934033469323849,102.99701388131325,-0.36,0.34,2640,2640,2640,2640,9.62,3.43,4.44,12.9
1.0,6.680417370602858,2.3803786033182597,103.47677499181832,-0.36,0.34,2700,2700,2700,2700,10.86,3.87,4.8,12.9
1.1,7.8953588315446535,2.813288779056141,103.99491699116378,-0.36,0.34,2760,2760,2760,2760,12.15,4.33,5.18,12.9
1.2,9.11030029248645,3.246198954794022,104.55451035045688,-0.36,0.34,2820,2820,2820,2820,12.15,4.33,5.6,12.9
1.3,10.325241753428246,3.6791091305319035,105.15887117849343,-0.36,0.34,2880,2880,2880,2880,12.15,4.33,6.04,12.9
1.4,11.540183214370042,4.112019306269785,105.81158087277291,-0.36,0.34,2940,2940,2940,2940,12.15,4.33,6.53,12.9
1.5,12.755124675311839,4.544929482007666,106.51650734259474,-0.36,0.34,3000,3000,3000,3000,12.15,4.33,7.05,12.9
1.6,13.970066136253635,4.977839657745548,107.27782793000232,-0.36,0.34,3060,3060,3060,3060,12.15,4.33,7.61,12.9
1.7,15.185007597195431,5.41074983348343,108.07782793000231,-0.35,0.34,3120,3120,3120,3120,12.15,4.33,8.0,12.9
1.8,16.399949058137228,5.843660009221312,108.87782793000231,-0.35,0.34,3180,3180,3180,3180,12.15,4.33,8.0,12.9
1.9,17.614890519079022,6.276570184959193,109.67782793000231,-0.35,0.34,3240,3240,3240,3240,12.15,4.33,8.0,12.9
2.0,18.829831980020817,6.709480360697075,110.4778279300023,-0.35,0.34,3300,3300,3300,3300,12.15,4.33,8.0,12.9
2.1,20.04477344096261,7.142390536434956,111.2778279300023,-0.35,0.34,3360,3360,3360,3360,12.15,4.33,8.0,12.9
2.2,21.259714901904406,7.575300712172837,112.0778279300023,-0.34,0.34,3420,3420,3420,3420,12.15,4.33,8.0,12.9
2.3,22.4746563628462,8.008210887910717,112.8778279300023,-0.34,0.34,3480,3480,3480,3480,12.15,4.33,8.0,12.9
2.4,23.689597823787995,8.441121063648598,113.6778279300023,-0.34,0.34,3540,3540,3540,3540,12.15,4.33,8.0,12.9
2.5,24.90453928472979,8.874031239386479,114.47782793000229,-0.34,0.34,3600,3600,3600,3600,12.15,4.33,8.0,12.9
2.6,26.119480745671584,9.30694141512436,115.27782793000229,-0.34,0.34,3660,3660,3660,3660,12.15,4.33,8.0,12.9
2.7,27.33442220661338,9.73985159086224,116.07782793000229,-0.34,0.34,3720,3720,3720,3720,12.15,4.33,8.0,12.9
