Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.09899494936611668,0.09899494936611668,19.973333333333333,0.08,0.79,2160,2160,2160,2160,0.99,0.99,-0.27,14
0.2,0.2118491916434897,0.2118491916434897,19.94602856296296,0.08,0.79,2100,2100,2100,2100,1.13,1.13,-0.27,14
0.3,0.3405030278396949,0.3405030278396949,19.91807434958345,0.08,0.79,2160,2160,2160,2160,1.29,1.29,-0.28,14
0.4,0.48716840110336884,0.48716840110336884,19.889459365472643,0.08,0.79,2100,2100,2100,2100,1.47,1.47,-0.29,14
0.5,0.6543669266239571,0.6543669266239571,19.860172308195672,0.08,0.79,2160,2160,2160,2160,1.67,1.67,-0.29,14
0.6,0.8449732457174277,0.8449732457174277,19.830201915014754,0.08,0.79,2100,2100,2100,2100,1.91,1.91,-0.3,14
0.7,1.0622644494839844,1.0622644494839844,19.799536978014213,0.08,0.79,2160,2160,2160,2160,2.17,2.17,-0.31,14
0.8,1.3099764217778587,1.3099764217778587,19.768166359948378,0.08,0.79,2111,2111,2111,2111,2.48,2.48,-0.31,14
0.9,1.5923680701928755,1.5923680701928755,19.73607901081823,0.08,0.79,2171,2171,2171,2171,2.82,2.82,-0.32,14
1.0,1.9142945493859949,1.9142945493859949,19.703263985180616,0.08,0.79,2111,2111,2111,2111,3.22,3.22,-0.33,14
1.1,2.281290735666151,2.281290735666151,19.66971046019159,0.08,0.79,2171,2171,2171,2171,3.67,3.67,-0.34,14
1.2,2.6996663880255287,2.6996663880255287,19.63540775438314,0.08,0.79,2125,2125,2125,2125,4.18,4.18,-0.34,14
1.3,3.1766146317152195,3.1766146317152195,19.600345347169842,0.08,0.79,2185,2185,2185,2185,4.77,4.77,-0.35,14
1.4,3.720335629521467,3.720335629521467,19.56451289907933,0.08,0.79,2125,2125,2125,2125,5.44,5.44,-0.36,14
1.5,4.340177567020589,4.340177567020589,19.527900272697416,0.08,0.79,2185,2185,2185,2185,6.2,6.2,-0.37,14
1.6,5.0467973757695885,5.0467973757695885,19.49049755431554,0.08,0.79,2136,2136,2136,2136,7.07,7.07,-0.37,14
1.7,5.8523439577434475,5.8523439577434475,19.452295076264868,0.08,0.79,2196,2196,2196,2196,8.06,8.06,-0.38,14
1.8,6.770667061193647,6.770667061193647,19.413283439917848,0.08,0.79,2136,2136,2136,2136,9.18,9.18,-0.39,14
1.9,7.760616554854813,7.760616554854813,19.373453539334207,0.08,0.79,2196,2196,2196,2196,9.9,9.9,-0.4,14
2.0,8.75056604851598,8.75056604851598,19.332796585524555,0.08,0.79,2162,2162,2162,2162,9.9,9.9,-0.41,14
2.1,9.740515542177146,9.740515542177146,19.291304131300578,0.08,0.79,2222,2222,2222,2222,9.9,9.9,-0.41,14
2.2,10.730465035838312,10.730465035838312,19.248968096676624,0.08,0.79,2162,2162,2162,2162,9.9,9.9,-0.42,14
2.3,11.720414529499479,11.720414529499479,19.20578079478302,0.08,0.79,2222,2222,2222,2222,9.9,9.9,-0.43,14
2.4,12.710364023160645,12.710364023160645,19.161734958246974,0.08,0.79,2162,2162,2162,2162,9.9,9.9,-0.44,14
2.5,13.700313516821812,13.700313516821812,19.11682376599217,0.08,0.79,2222,2222,2222,2222,9.9,9.9,-0.45,14
2.6,14.690263010482978,14.690263010482978,19.07104087040349,0.08,0.79,2174,2174,2174,2174,9.9,9.9,-0.46,14
2.7,15.680212504144144,15.680212504144144,19.0243804247984,0.08,0.79,2234,2234,2234,2234,9.9,9.9,-0.47,14
2.8,16.67016199780531,16.67016199780531,18.976837111141606,0.08,0.79,2174,2174,2174,2174,9.9,9.9,-0.48,14
2.9,17.660111491466477,17.660111491466477,18.928406167934703,0.09,0.79,2234,2234,2234,2234,9.9,9.9,-0.48,14
3.0,18.650060985127645,18.650060985127645,18.87908341820759,0.09,0.79,2215,2215,2215,2215,9.9,9.9,-0.49,14
