Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.9899494936611666,0.9899494936611666,49.8,0.08,0.79,2160,2160,2160,2160,9.9,9.9,-2.0,14
0.2,1.9798989873223332,1.9798989873223332,49.604,0.08,0.79,2111,2111,2111,2111,9.9,9.9,-1.96,14
0.3,2.9698484809834995,2.9698484809834995,49.41192,0.08,0.79,2171,2171,2171,2171,9.9,9.9,-1.92,14
0.4,3.9597979746446663,3.9597979746446663,49.2236816,0.08,0.79,2231,2231,2231,2231,9.9,9.9,-1.88,14
0.5,4.949747468305833,4.949747468305833,49.039207968,0.07,0.79,2171,2171,2171,2171,9.9,9.9,-1.84,14
0.6,5.939696961966999,5.939696961966999,48.85842380864,0.07,0.79,2231,2231,2231,2231,9.9,9.9,-1.81,14
0.7,6.929646455628165,6.929646455628165,48.681255332467195,0.07,0.79,2259,2259,2259,2259,9.9,9.9,-1.77,14
0.8,7.919595949289332,7.919595949289332,48.50763022581785,0.07,0.79,2229,2229,2229,2229,9.9,9.9,-1.74,14
0.9,8.909545442950499,8.909545442950499,48.33747762130149,0.07,0.79,2289,2289,2289,2289,9.9,9.9,-1.7,14
1.0,9.899494936611665,9.899494936611665,48.170728068875455,0.07,0.79,2266,2266,2266,2266,9.9,9.9,-1.67,14
1.1,10.889444430272832,10.889444430272832,48.00731350749795,0.07,0.79,2326,2326,2326,2326,9.9,9.9,-1.63,14
1.2,11.879393923933998,11.879393923933998,47.84716723734799,0.07,0.79,2270,2270,2270,2270,9.9,9.9,-1.6,14
1.3,12.869343417595164,12.869343417595164,47.69022389260103,0.07,0.79,2330,2330,2330,2330,9.9,9.9,-1.57,14
1.4,13.85929291125633,13.85929291125633,47.53641941474901,0.07,0.79,2390,2390,2390,2390,9.9,9.9,-1.54,14
1.5,14.849242404917497,14.849242404917497,47.38569102645403,0.07,0.79,2330,2330,2330,2330,9.9,9.9,-1.51,14
1.6,15.839191898578663,15.839191898578663,47.23797720592495,0.07,0.79,2390,2390,2390,2390,9.9,9.9,-1.48,14
1.7,16.82914139223983,16.82914139223983,47.09321766180645,0.07,0.79,2366,2366,2366,2366,9.9,9.9,-1.45,14
1.8,17.819090885900998,17.819090885900998,46.95135330857032,0.07,0.79,2426,2426,2426,2426,9.9,9.9,-1.42,14
1.9,18.809040379562166,18.809040379562166,46.81232624239891,0.07,0.79,2366,2366,2366,2366,9.9,9.9,-1.39,14
2.0,19.798989873223334,19.798989873223334,46.676079717550934,0.07,0.79,2426,2426,2426,2426,9.9,9.9,-1.36,14
2.1,20.788939366884502,20.788939366884502,46.54255812319992,0.07,0.79,2483,2483,2483,2483,9.9,9.9,-1.34,14
2.2,21.77888886054567,21.77888886054567,46.41170696073592,0.07,0.79,2423,2423,2423,2423,9.9,9.9,-1.31,14
2.3,22.76883835420684,22.76883835420684,46.2834728215212,0.07,0.79,2483,2483,2483,2483,9.9,9.9,-1.28,14
2.4,23.758787847868007,23.758787847868007,46.15780336509078,0.07,0.79,2436,2436,2436,2436,9.9,9.9,-1.26,14
2.5,24.748737341529175,24.748737341529175,46.034647297788965,0.06,0.79,2496,2496,2496,2496,9.9,9.9,-1.23,14
2.6,25.738686835190343,25.738686835190343,45.91395435183318,0.06,0.79,2496,2496,2496,2496,9.9,9.9,-1.21,14
2.7,26.728636328851508,26.728636328851508,45.79567526479652,0.06,0.79,2553,2553,2553,2553,9.9,9.9,-1.18,14
2.8,27.718585822512676,27.718585822512676,45.67976175950059,0.06,0.79,2493,2493,2493,2493,9.9,9.9,-1.16,14
2.9,28.708535316173844,28.708535316173844,45.56616652431058,0.06,0.79,2553,2553,2553,2553,9.9,9.9,-1.14,14
3.0,29.69848480983501,29.69848480983501,45.45484319382437,0.06,0.79,2493,2493,2493,2493,9.9,9.9,-1.11,14
