Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,998.47192344658,997.6241187934783,100.0,-0.0,-2.36,3240,3240,3240,3240,-6.91,-6.9,0.0,20
0.2,997.6478141574248,996.8007092572892,100.0,-0.0,-2.36,3180,3180,3180,3180,-8.24,-8.23,0.0,20
0.3,996.6615579668645,995.815290498977,100.0,-0.0,-2.36,3120,3120,3120,3120,-9.86,-9.85,0.0,20
0.4,995.4797323037803,994.6344683265997,100.0,-0.0,-2.36,3060,3060,3060,3060,-11.82,-11.81,0.0,20
0.5,994.0649182081245,993.2208555526289,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
0.6,992.6501041124686,991.8072427786581,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
0.7,991.2352900168128,990.3936300046872,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
0.8,989.8204759211569,988.9800172307164,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
0.9,988.405661825501,987.5664044567455,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
1.0,986.9908477298452,986.1527916827747,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
1.1,985.5760336341893,984.7391789088039,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
1.2,984.1612195385335,983.325566134833,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
1.3,982.7464054428776,981.9119533608622,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
1.4,981.3315913472218,980.4983405868913,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
1.5,979.9167772515659,979.0847278129205,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
1.6,978.5019631559101,977.6711150389497,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
1.7,977.0871490602542,976.2575022649788,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
1.8,975.6723349645983,974.843889491008,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
1.9,974.2575208689425,973.4302767170371,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
2.0,972.8427067732866,972.0166639430663,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
2.1,971.4278926776308,970.6030511690955,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
2.2,970.0130785819749,969.1894383951246,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
2.3,968.5982644863191,967.7758256211538,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
2.4,967.1834503906632,966.362212847183,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
2.5,965.7686362950074,964.9486000732121,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
2.6,964.3538221993515,963.5349872992413,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
2.7,962.9390081036956,962.1213745252704,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
2.8,961.5241940080398,960.7077617512996,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
2.9,960.1093799123839,959.2941489773287,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
3.0,958.6945658167281,957.8805362033579,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
3.1,957.2797517210722,956.4669234293871,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
3.2,955.8649376254164,955.0533106554162,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
3.3,954.4501235297605,953.6396978814454,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
3.4,953.0353094341046,952.2260851074745,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
3.5,951.6204953384488,950.8124723335037,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
3.6,950.2056812427929,949.3988595595329,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
3.7,948.7908671471371,947.985246785562,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
3.8,947.3760530514812,946.5716340115912,100.0,-0.0,-2.36,3060,3060,3060,3060,-14.15,-14.14,0.0,20
3.9,945.9612389558254,945.1580212376203,100.0,-0.0,-2.36,3120,3120,3120,3120,-14.15,-14.14,0.0,20
