Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.03535533905932738,0.03535533905932738,20.0,-0.0,0.79,2160,2160,2160,2160,0.35,0.35,0.0,5
0.2,0.07247844507162113,0.07247844507162113,20.0,-0.0,0.79,2220,2220,2220,2220,0.37,0.37,0.0,5
0.3,0.11145770638452956,0.11145770638452956,20.0,-0.0,0.79,2280,2280,2280,2280,0.39,0.39,0.0,5
0.4,0.15238593076308343,0.15238593076308343,20.0,-0.0,0.79,2340,2340,2340,2340,0.41,0.41,0.0,5
0.5,0.19536056636056498,0.19536056636056498,20.0,-0.0,0.79,2400,2400,2400,2400,0.43,0.43,0.0,5
0.6,0.2404839337379206,0.2404839337379206,20.0,-0.0,0.79,2460,2460,2460,2460,0.45,0.45,0.0,5
0.7,0.287863469484144,0.287863469484144,20.0,-0.0,0.79,2520,2520,2520,2520,0.47,0.47,0.0,5
0.8,0.33761198201767856,0.33761198201767856,20.0,-0.0,0.79,2580,2580,2580,2580,0.5,0.5,0.0,5
0.9,0.38984792017788983,0.38984792017788983,20.0,-0.0,0.79,2640,2640,2640,2640,0.52,0.52,0.0,5
1.0,0.4446956552461117,0.4446956552461117,20.0,-0.0,0.79,2700,2700,2700,2700,0.55,0.55,0.0,5
1.1,0.5022857770677447,0.5022857770677447,20.0,-0.0,0.79,2760,2760,2760,2760,0.58,0.58,0.0,5
1.2,0.5627554049804593,0.5627554049804593,20.0,-0.0,0.79,2700,2700,2700,2700,0.6,0.6,0.0,5
1.3,0.6262485142888097,0.6262485142888097,20.0,-0.0,0.79,2760,2760,2760,2760,0.63,0.63,0.0,5
1.4,0.6929162790625776,0.6929162790625776,20.0,-0.0,0.79,2700,2700,2700,2700,0.67,0.67,0.0,5
1.5,0.7629174320750338,0.7629174320750338,20.0,-0.0,0.79,2760,2760,2760,2760,0.7,0.7,0.0,5
1.6,0.8364186427381128,0.8364186427381128,20.0,-0.0,0.79,2700,2700,2700,2700,0.74,0.74,0.0,5
1.7,0.9135949139343459,0.9135949139343459,20.0,-0.0,0.79,2760,2760,2760,2760,0.77,0.77,0.0,5
1.8,0.9946299986903906,0.9946299986903906,20.0,-0.0,0.79,2700,2700,2700,2700,0.81,0.81,0.0,5
