Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.40270044398612437,1.0221950974796878,50.5,-0.18,1.2,2160,2160,2160,2160,4.03,10.22,5.0,10.99
0.2,0.8054008879722487,2.0443901949593757,51.0,-0.18,1.2,2220,2220,2220,2220,4.03,10.22,5.0,10.99
0.3,1.208101331958373,3.0665852924390635,51.5,-0.18,1.2,2280,2280,2280,2280,4.03,10.22,5.0,10.99
0.4,1.6108017759444975,4.088780389918751,52.0,-0.18,1.2,2340,2340,2340,2340,4.03,10.22,5.0,10.99
0.5,2.013502219930622,5.11097548739844,52.5,-0.18,1.2,2400,2400,2400,2400,4.03,10.22,5.0,10.99
0.6,2.4162026639167467,6.133170584878128,53.0,-0.18,1.2,2460,2460,2460,2460,4.03,10.22,5.0,10.99
0.7,2.8189031079028712,7.155365682357816,53.5,-0.18,1.2,2520,2520,2520,2520,4.03,10.22,5.0,10.99
0.8,3.221603551888996,8.177560779837505,54.0,-0.18,1.2,2580,2580,2580,2580,4.03,10.22,5.0,10.99
0.9,3.6243039958751204,9.199755877317193,54.5,-0.17,1.2,2640,2640,2640,2640,4.03,10.22,5.0,10.99
1.0,4.027004439861245,10.221950974796881,55.0,-0.17,1.2,2700,2700,2700,2700,4.03,10.22,5.0,10.99
1.1,4.42970488384737,11.24414607227657,55.5,-0.17,1.2,2760,2760,2760,2760,4.03,10.22,5.0,10.99
1.2,4.832405327833494,12.266341169756258,56.0,-0.17,1.2,2820,2820,2820,2820,4.03,10.22,5.0,10.99
1.3,5.235105771819619,13.288536267235946,56.5,-0.17,1.2,2880,2880,2880,2880,4.03,10.22,5.0,10.99
1.4,5.637806215805743,14.310731364715634,57.0,-0.17,1.2,2940,2940,2940,2940,4.03,10.22,5.0,10.99
1.5,6.040506659791868,15.332926462195323,57.5,-0.17,1.2,3000,3000,3000,3000,4.03,10.22,5.0,10.99
1.6,6.4432071037779926,16.35512155967501,58.0,-0.17,1.2,3060,3060,3060,3060,4.03,10.22,5.0,10.99
1.7,6.845907547764117,17.377316657154697,58.5,-0.17,1.2,3120,3120,3120,3120,4.03,10.22,5.0,10.99
1.8,7.248607991750242,18.399511754634386,59.0,-0.17,1.2,3180,3180,3180,3180,4.03,10.22,5.0,10.99
1.9,7.651308435736366,19.421706852114074,59.5,-0.17,1.2,3240,3240,3240,3240,4.03,10.22,5.0,10.99
2.0,8.05400887972249,20.443901949593762,60.0,-0.17,1.2,3300,3300,3300,3300,4.03,10.22,5.0,10.99
2.1,8.456709323708614,21.46609704707345,60.5,-0.17,1.2,3360,3360,3360,3360,4.03,10.22,5.0,10.99
2.2,8.859409767694737,22.48829214455314,61.0,-0.17,1.2,3420,3420,3420,3420,4.03,10.22,5.0,10.99
2.3,9.262110211680861,23.510487242032827,61.5,-0.17,1.2,3480,3480,3480,3480,4.03,10.22,5.0,10.99
2.4,9.664810655666985,24.532682339512515,62.0,-0.17,1.2,3540,3540,3540,3540,4.03,10.22,5.0,10.99
2.5,10.067511099653109,25.554877436992204,62.5,-0.17,1.2,3600,3600,3600,3600,4.03,10.22,5.0,10.99
2.6,10.470211543639232,26.577072534471892,63.0,-0.17,1.2,3660,3660,3660,3660,4.03,10.22,5.0,10.99
2.7,10.872911987625356,27.59926763195158,63.5,-0.17,1.2,3720,3720,3720,3720,4.03,10.22,5.0,10.99
2.8,11.27561243161148,28.62146272943127,64.0,-0.17,1.2,3780,3780,3780,3780,4.03,10.22,5.0,10.99
2.9,11.678312875597603,29.643657826910957,64.5,-0.17,1.2,3840,3840,3840,3840,4.03,10.22,5.0,10.99
3.0,12.081013319583727,30.665852924390645,65.0,-0.17,1.2,3900,3900,3900,3900,4.03,10.22,5.0,10.99
3.1,12.48371376356985,31.688048021870333,65.5,-0.17,1.2,3960,3960,3960,3960,4.03,10.22,5.0,10.99
3.2,12.886414207555974,32.71024311935002,66.0,-0.17,1.2,4020,4020,4020,4020,4.03,10.22,5.0,10.99
3.3,13.289114651542098,33.732438216829706,66.5,-0.17,1.2,4080,4080,4080,4080,4.03,10.22,5.0,10.99
3.4,13.691815095528222,34.754633314309395,67.0,-0.17,1.2,4140,4140,4140,4140,4.03,10.22,5.0,10.99
3.5,14.094515539514346,35.77682841178908,67.5,-0.17,1.2,4200,4200,4200,4200,4.03,10.22,5.0,10.99
3.6,14.49721598350047,36.79902350926877,68.0,-0.17,1.2,4260,4260,4260,4260,4.03,10.22,5.0,10.99
3.7,14.899916427486593,37.82121860674846,68.5,-0.17,1.2,4320,4320,4320,4320,4.03,10.22,5.0,10.99
3.8,15.302616871472717,38.84341370422815,69.0,-0.17,1.2,4380,4380,4380,4380,4.03,10.22,5.0,10.99
3.9,15.70531731545884,39.865608801707836,69.5,-0.17,1.2,4440,4440,4440,4440,4.03,10.22,5.0,10.99
4.0,16.108017759444966,40.887803899187524,70.0,-0.17,1.2,4500,4500,4500,4500,4.03,10.22,5.0,10.99
4.1,16.51071820343109,41.90999899666721,70.5,-0.17,1.2,4560,4560,4560,4560,4.03,10.22,5.0,10.99
4.2,16.913418647417213,42.9321940941469,71.0,-0.16,1.2,4620,4620,4620,4620,4.03,10.22,5.0,10.99
4.3,17.316119091403337,43.95438919162659,71.5,-0.16,1.2,4680,4680,4680,4680,4.03,10.22,5.0,10.99
4.4,17.71881953538946,44.97658428910628,72.0,-0.16,1.2,4740,4740,4740,4740,4.03,10.22,5.0,10.99
4.5,18.121519979375584,45.998779386585966,72.5,-0.16,1.2,4800,4800,4800,4800,4.03,10.22,5.0,10.99
4.6,18.524220423361708,47.020974484065654,73.0,-0.16,1.2,4860,4860,4860,4860,4.03,10.22,5.0,10.99
4.7,18.92692086734783,48.04316958154534,73.5,-0.16,1.2,4920,4920,4920,4920,4.03,10.22,5.0,10.99
4.8,19.329621311333955,49.06536467902503,74.0,-0.16,1.2,4980,4980,4980,4980,4.03,10.22,5.0,10.99
4.9,19.73232175532008,50.08755977650472,74.5,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.0,20.135022199306203,51.10975487398441,75.0,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.1,20.537722643292327,52.131949971464095,75.5,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.2,20.94042308727845,53.154145068943784,76.0,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.3,21.343123531264574,54.17634016642347,76.5,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.4,21.745823975250698,55.19853526390316,77.0,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.5,22.14852441923682,56.22073036138285,77.5,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.6,22.551224863222945,57.24292545886254,78.0,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.7,22.95392530720907,58.265120556342225,78.5,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.8,23.356625751195192,59.28731565382191,79.0,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
5.9,23.759326195181316,60.3095107513016,79.5,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
6.0,24.16202663916744,61.33170584878129,80.0,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
6.1,24.564727083153564,62.35390094626098,80.5,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
6.2,24.967427527139687,63.37609604374067,81.0,-0.16,1.2,5000,5000,5000,5000,4.03,10.22,5.0,10.99
