Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.19798989873223335,0.19798989873223335,19.96,0.08,0.79,2160,2160,2160,2160,1.98,1.98,-0.4,14
0.2,0.4236983832869794,0.4236983832869794,19.9193632,0.08,0.79,2100,2100,2100,2100,2.26,2.26,-0.41,14
0.3,0.6810060556793898,0.6810060556793898,19.878086015787026,0.08,0.79,2160,2160,2160,2160,2.57,2.57,-0.41,14
0.4,0.9743368022067377,0.9743368022067377,19.83616511807871,0.08,0.79,2100,2100,2100,2100,2.93,2.93,-0.42,14
0.5,1.3087338532479142,1.3087338532479142,19.79359744370504,0.08,0.79,2160,2160,2160,2160,3.34,3.34,-0.43,14
0.6,1.6899464914348554,1.6899464914348554,19.75038020683481,0.08,0.79,2114,2114,2114,2114,3.81,3.81,-0.43,14
0.7,2.1245288989679687,2.1245288989679687,19.706510910226445,0.08,0.79,2174,2174,2174,2174,4.35,4.35,-0.44,14
0.8,2.619952843555718,2.619952843555718,19.6619873564817,0.08,0.79,2114,2114,2114,2114,4.95,4.95,-0.45,14
0.9,3.1847361403857515,3.1847361403857515,19.61680765927976,0.08,0.79,2174,2174,2174,2174,5.65,5.65,-0.45,14
1.0,3.82858909877199,3.82858909877199,19.57097025456821,0.08,0.79,2138,2138,2138,2138,6.44,6.44,-0.46,14
1.1,4.562581471332302,4.562581471332302,19.524473911686233,0.08,0.79,2198,2198,2198,2198,7.34,7.34,-0.46,14
1.2,5.399332776051057,5.399332776051057,19.477317744394547,0.08,0.79,2138,2138,2138,2138,8.37,8.37,-0.47,14
1.3,6.353229263430439,6.353229263430439,19.42950122178551,0.08,0.79,2198,2198,2198,2198,9.54,9.54,-0.48,14
1.4,7.343178757091605,7.343178757091605,19.38102417904597,0.08,0.79,2138,2138,2138,2138,9.9,9.9,-0.48,14
1.5,8.333128250752772,8.333128250752772,19.331886828044556,0.08,0.79,2198,2198,2198,2198,9.9,9.9,-0.49,14
1.6,9.323077744413938,9.323077744413938,19.28208976771435,0.08,0.79,2172,2172,2172,2172,9.9,9.9,-0.5,14
1.7,10.313027238075104,10.313027238075104,19.23163399420102,0.08,0.79,2232,2232,2232,2232,9.9,9.9,-0.5,14
1.8,11.30297673173627,11.30297673173627,19.18052091074597,0.08,0.79,2172,2172,2172,2172,9.9,9.9,-0.51,14
1.9,12.292926225397437,12.292926225397437,19.128752337273355,0.08,0.79,2232,2232,2232,2232,9.9,9.9,-0.52,14
2.0,13.282875719058604,13.282875719058604,19.076330519649343,0.08,0.79,2172,2172,2172,2172,9.9,9.9,-0.52,14
2.1,14.27282521271977,14.27282521271977,19.023258138581596,0.08,0.79,2232,2232,2232,2232,9.9,9.9,-0.53,14
2.2,15.262774706380936,15.262774706380936,18.969538318126595,0.08,0.79,2177,2177,2177,2177,9.9,9.9,-0.54,14
2.3,16.252724200042103,16.252724200042103,18.91517463377224,0.08,0.79,2237,2237,2237,2237,9.9,9.9,-0.54,14
2.4,17.242673693703267,17.242673693703267,18.86017112006302,0.08,0.79,2207,2207,2207,2207,9.9,9.9,-0.55,14
2.5,18.23262318736443,18.23262318736443,18.804532277735102,0.08,0.79,2267,2267,2267,2267,9.9,9.9,-0.56,14
2.6,19.2225726810256,19.2225726810256,18.74826308032882,0.09,0.79,2207,2207,2207,2207,9.9,9.9,-0.56,14
2.7,20.212522174686768,20.212522174686768,18.691368980246217,0.09,0.79,2267,2267,2267,2267,9.9,9.9,-0.57,14
2.8,21.202471668347936,21.202471668347936,18.63385591422188,0.09,0.79,2207,2207,2207,2207,9.9,9.9,-0.58,14
2.9,22.192421162009104,22.192421162009104,18.575730308175643,0.09,0.79,2267,2267,2267,2267,9.9,9.9,-0.58,14
3.0,23.18237065567027,23.18237065567027,18.516999081416554,0.09,0.79,2245,2245,2245,2245,9.9,9.9,-0.59,14
3.1,24.172320149331437,24.172320149331437,18.457669650168256,0.09,0.79,2305,2305,2305,2305,9.9,9.9,-0.59,14
3.2,25.162269642992605,25.162269642992605,18.397749930386972,0.09,0.79,2245,2245,2245,2245,9.9,9.9,-0.6,14
3.3,26.15221913665377,26.15221913665377,18.337248339844315,0.09,0.79,2305,2305,2305,2305,9.9,9.9,-0.61,14
3.4,27.142168630314938,27.142168630314938,18.276173799448525,0.09,0.79,2245,2245,2245,2245,9.9,9.9,-0.61,14
