Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Speed
4.5,24.741337148941028,62.80219929335623,72.5,-0.17,1.2,4800,4800,4800,4800,5.5,13.96,5.0,15.0
4.6,25.291144641139716,64.19780372209748,73.0,-0.17,1.2,4860,4860,4860,4860,5.5,13.96,5.0,15.0
4.7,25.840952133338405,65.59340815083873,73.5,-0.17,1.2,4920,4920,4920,4920,5.5,13.96,5.0,15.0
4.8,26.390759625537093,66.98901257957998,74.0,-0.17,1.2,4980,4980,4980,4980,5.5,13.96,5.0,15.0
4.9,26.94056711773578,68.38461700832123,74.5,-0.17,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.0,27.49037460993447,69.78022143706248,75.0,-0.17,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.1,28.04018210213316,71.17582586580373,75.5,-0.17,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.2,28.589989594331847,72.57143029454498,76.0,-0.17,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.3,29.139797086530535,73.96703472328623,76.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.4,29.689604578729224,75.36263915202748,77.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.5,30.239412070927912,76.75824358076873,77.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.6,30.7892195631266,78.15384800950999,78.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.7,31.33902705532529,79.54945243825124,78.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.8,31.888834547523977,80.94505686699249,79.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
5.9,32.438642039722666,82.34066129573374,79.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.0,32.988449531921354,83.73626572447499,80.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.1,33.53825702412004,85.13187015321624,80.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.2,34.08806451631873,86.52747458195749,81.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.3,34.63787200851742,87.92307901069874,81.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.4,35.18767950071611,89.31868343944,82.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.5,35.737486992914796,90.71428786818124,82.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.6,36.287294485113485,92.1098922969225,83.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.7,36.83710197731217,93.50549672566375,83.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.8,37.38690946951086,94.901101154405,84.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
6.9,37.93671696170955,96.29670558314625,84.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.0,38.48652445390824,97.6923100118875,85.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.1,39.03633194610693,99.08791444062875,85.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.2,39.586139438305615,100.48351886937,86.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.3,40.1359469305043,101.87912329811125,86.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.4,40.68575442270299,103.2747277268525,87.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.5,41.23556191490168,104.67033215559375,87.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.6,41.78536940710037,106.065936584335,88.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.7,42.33517689929906,107.46154101307626,88.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.8,42.884984391497746,108.85714544181751,89.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
7.9,43.434791883696434,110.25274987055876,89.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.0,43.98459937589512,111.64835429930001,90.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.1,44.53440686809381,113.04395872804126,90.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.2,45.0842143602925,114.43956315678251,91.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.3,45.63402185249119,115.83516758552376,91.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.4,46.183829344689876,117.23077201426501,92.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.5,46.733636836888564,118.62637644300627,92.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.6,47.28344432908725,120.02198087174752,93.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.7,47.83325182128594,121.41758530048877,93.5,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.8,48.38305931348463,122.81318972923002,94.0,-0.16,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
8.9,48.93286680568332,124.20879415797127,94.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
9.0,49.482674297882006,125.60439858671252,95.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
9.1,50.032481790080695,127.00000301545377,95.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
9.2,50.58228928227938,128.395607444195,96.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
9.3,51.13209677447807,129.79121187293626,96.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
9.4,51.68190426667676,131.1868163016775,97.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
9.5,52.23171175887545,132.58242073041876,97.5,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
9.6,52.78151925107414,133.97802515916,98.0,-0.15,1.2,5000,5000,5000,5000,5.5,13.96,5.0,15.0
