Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.2785906417197691,0.3581879679254174,100.13538346638292,-0.79,0.91,2760,2760,2760,2760,2.79,3.58,1.35,15.13
0.2,0.5993204002342859,0.7705548003012246,100.2768764937558,-0.79,0.91,2820,2820,2820,2820,3.21,4.12,1.41,15.13
0.3,0.9685631621654403,1.2452954942127088,100.42475479330025,-0.79,0.91,2880,2880,2880,2880,3.69,4.75,1.48,15.13
0.4,1.3936569167020219,1.7918446071883136,100.57930651844309,-0.8,0.91,2940,2940,2940,2940,4.25,5.47,1.55,15.13
0.5,1.883049584010962,2.421063750871237,100.74083282634768,-0.8,0.91,3000,3000,3000,3000,4.89,6.29,1.62,15.13
0.6,2.4464669013904112,3.1454574446448147,100.90964846474434,-0.8,0.91,3060,3060,3060,3060,5.63,7.24,1.69,15.13
0.7,3.0951057035788074,3.979421618887038,101.08608238524292,-0.8,0.91,3120,3120,3120,3120,6.49,8.34,1.76,15.13
0.8,3.841856438294054,4.939529706378069,101.27047838432304,-0.81,0.91,3180,3180,3180,3180,7.47,9.6,1.84,15.13
0.9,4.701559339070865,6.044862007376827,101.4631957732507,-0.81,0.91,3240,3240,3240,3240,8.6,11.05,1.93,15.13
1.0,5.630194811470096,7.238821900461552,101.66461007822679,-0.81,0.91,3300,3300,3300,3300,9.29,11.94,2.01,15.13
1.1,6.558830283869327,8.432781793546276,101.8751137721318,-0.82,0.91,3360,3360,3360,3360,9.29,11.94,2.11,15.13
1.2,7.4874657562685565,9.626741686631,102.09511703929256,-0.82,0.91,3420,3420,3420,3420,9.29,11.94,2.2,15.13
1.3,8.416101228667786,10.820701579715724,102.32504857476125,-0.83,0.91,3480,3480,3480,3480,9.29,11.94,2.3,15.13
1.4,9.344736701067017,12.014661472800448,102.56535641966411,-0.83,0.91,3540,3540,3540,3540,9.29,11.94,2.4,15.13
1.5,10.273372173466248,13.208621365885172,102.81650883424763,-0.84,0.91,3600,3600,3600,3600,9.29,11.94,2.51,15.13
1.6,11.202007645865478,14.402581258969896,103.0789952103234,-0.84,0.91,3660,3660,3660,3660,9.29,11.94,2.62,15.13
1.7,12.13064311826471,15.59654115205462,103.35332702488964,-0.85,0.91,3720,3720,3720,3720,9.29,11.94,2.74,15.13
1.8,13.05927859066394,16.790501045139344,103.64003883678758,-0.85,0.91,3780,3780,3780,3780,9.29,11.94,2.87,15.13
1.9,13.98791406306317,17.984460938224068,103.93968932833475,-0.86,0.91,3840,3840,3840,3840,9.29,11.94,3.0,15.13
2.0,14.916549535462401,19.17842083130879,104.25286239396492,-0.86,0.91,3900,3900,3900,3900,9.29,11.94,3.13,15.13
2.1,15.845185007861632,20.372380724393516,104.58016827799601,-0.87,0.91,3960,3960,3960,3960,9.29,11.94,3.27,15.13
2.2,16.773820480260863,21.56634061747824,104.92224476374298,-0.87,0.91,4002,4002,4002,4002,9.29,11.94,3.42,15.13
2.3,17.70245595266009,22.760300510562963,105.2797584162928,-0.88,0.91,4053,4053,4053,4053,9.29,11.94,3.58,15.13
2.4,18.63109142505932,23.954260403647687,105.65340588136308,-0.88,0.91,4084,4084,4084,4084,9.29,11.94,3.74,15.13
2.5,19.55972689745855,25.14822029673241,106.04391524277551,-0.89,0.91,4144,4144,4144,4144,9.29,11.94,3.91,15.13
2.6,20.48836236985778,26.342180189817135,106.45204744118892,-0.89,0.91,4204,4204,4204,4204,9.29,11.94,4.08,15.13
2.7,21.416997842257008,27.53614008290186,106.8785977568569,-0.9,0.91,4238,4238,4238,4238,9.29,11.94,4.27,15.13
2.8,22.345633314656236,28.730099975986583,107.32439735929884,-0.9,0.91,4298,4298,4298,4298,9.29,11.94,4.46,15.13
2.9,23.274268787055465,29.924059869071307,107.77567558057524,-0.91,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
3.0,24.202904259454694,31.11801976215603,108.22695380185164,-0.91,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
3.1,25.131539731853923,32.311979655240755,108.67823202312803,-0.92,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
3.2,26.060175204253152,33.50593954832548,109.12951024440443,-0.92,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
3.3,26.98881067665238,34.6998994414102,109.58078846568083,-0.93,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
3.4,27.91744614905161,35.89385933449493,110.03206668695722,-0.93,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
3.5,28.84608162145084,37.08781922757965,110.48334490823362,-0.94,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
3.6,29.774717093850068,38.281779120664375,110.93462312951002,-0.94,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
3.7,30.703352566249297,39.4757390137491,111.38590135078641,-0.95,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
3.8,31.631988038648526,40.66969890683382,111.83717957206281,-0.95,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
3.9,32.56062351104776,41.86365879991855,112.2884577933392,-0.96,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
4.0,33.48925898344699,43.05761869300327,112.7397360146156,-0.97,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
4.1,34.417894455846216,44.251578586087994,113.191014235892,-0.97,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
4.2,35.346529928245445,45.44553847917272,113.6422924571684,-0.98,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
4.3,36.275165400644674,46.63949837225744,114.09357067844479,-0.98,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
4.4,37.2038008730439,47.833458265342166,114.54484889972119,-0.99,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
4.5,38.13243634544313,49.02741815842689,114.99612712099758,-1.0,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
4.6,39.06107181784236,50.221378051511614,115.44740534227398,-1.0,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
4.7,39.98970729024159,51.41533794459634,115.89868356355038,-1.01,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
4.8,40.91834276264082,52.60929783768106,116.34996178482677,-1.02,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
4.9,41.84697823504005,53.803257730765786,116.80124000610317,-1.02,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
5.0,42.77561370743928,54.99721762385051,117.25251822737957,-1.03,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
5.1,43.704249179838506,56.191177516935234,117.70379644865596,-1.04,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
5.2,44.632884652237735,57.38513741001996,118.15507466993236,-1.04,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
5.3,45.561520124636964,58.57909730310468,118.60635289120876,-1.05,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
5.4,46.49015559703619,59.773057196189406,119.05763111248515,-1.06,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
5.5,47.41879106943542,60.96701708927413,119.50890933376155,-1.07,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
5.6,48.34742654183465,62.160976982358854,119.96018755503795,-1.07,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
5.7,49.27606201423388,63.35493687544358,120.41146577631434,-1.08,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
5.8,50.20469748663311,64.54889676852831,120.86274399759074,-1.09,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
5.9,51.13333295903234,65.74285666161303,121.31402221886714,-1.1,0.91,4238,4238,4238,4238,9.29,11.94,4.51,15.13
6.0,52.061968431431566,66.93681655469776,121.76530044014353,-1.1,0.91,4298,4298,4298,4298,9.29,11.94,4.51,15.13
