Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.42426406871192857,0.42426406871192857,500.0,-0.0,0.79,2160,2160,2160,2160,4.24,4.24,0.0,20
0.2,0.9333809511662428,0.9333809511662428,500.0,-0.0,0.79,2220,2220,2220,2220,5.09,5.09,0.0,20
0.3,1.5443212101114199,1.5443212101114199,500.0,-0.0,0.79,2280,2280,2280,2280,6.11,6.11,0.0,20
0.4,2.2774495208456322,2.2774495208456322,500.0,-0.0,0.79,2340,2340,2340,2340,7.33,7.33,0.0,20
0.5,3.1572034937266875,3.1572034937266875,500.0,-0.0,0.79,2400,2400,2400,2400,8.8,8.8,0.0,20
0.6,4.212908261183953,4.212908261183953,500.0,-0.0,0.79,2460,2460,2460,2460,10.56,10.56,0.0,20
0.7,5.479753982132673,5.479753982132673,500.0,-0.0,0.79,2520,2520,2520,2520,12.67,12.67,0.0,20
0.8,6.8939675445057675,6.8939675445057675,500.0,-0.0,0.79,2580,2580,2580,2580,14.14,14.14,0.0,20
0.9,8.308181106878862,8.308181106878862,500.0,-0.0,0.79,2640,2640,2640,2640,14.14,14.14,0.0,20
1.0,9.722394669251958,9.722394669251958,500.0,-0.0,0.79,2700,2700,2700,2700,14.14,14.14,0.0,20
1.1,11.136608231625054,11.136608231625054,500.0,-0.0,0.79,2760,2760,2760,2760,14.14,14.14,0.0,20
1.2,12.55082179399815,12.55082179399815,500.0,-0.0,0.79,2820,2820,2820,2820,14.14,14.14,0.0,20
1.3,13.965035356371246,13.965035356371246,500.0,-0.0,0.79,2880,2880,2880,2880,14.14,14.14,0.0,20
1.4,15.379248918744342,15.379248918744342,500.0,-0.0,0.79,2940,2940,2940,2940,14.14,14.14,0.0,20
1.5,16.793462481117437,16.793462481117437,500.0,-0.0,0.79,3000,3000,3000,3000,14.14,14.14,0.0,20
1.6,18.207676043490533,18.207676043490533,500.0,-0.0,0.79,3060,3060,3060,3060,14.14,14.14,0.0,20
