Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz,Hor_Speed
0.1,0.2443677813511873,0.19105117451092826,100.0955148176603,-0.41,0.66,2160,2160,2160,2160,2.44,1.91,0.96,10.34
0.2,0.5140021571666267,0.40185623196663534,100.19407066211816,-0.41,0.66,2220,2220,2220,2220,2.7,2.11,0.99,10.34
0.3,0.8115155863895185,0.634457640268169,100.29576435441362,-0.41,0.66,2280,2280,2280,2280,2.98,2.33,1.02,10.34
0.4,1.1397906451622595,0.8911090498541301,100.40069579820134,-0.41,0.66,2340,2340,2340,2340,3.28,2.57,1.05,10.34
0.5,1.5020079558017443,1.1742971290813637,100.5089680778958,-0.41,0.66,2400,2400,2400,2400,3.62,2.83,1.08,10.34
0.6,1.901677003512522,1.486765657291608,100.62068755994116,-0.41,0.66,2460,2460,2460,2460,4.0,3.12,1.12,10.34
0.7,2.342670139417682,1.8315421089992785,100.7359639973054,-0.41,0.66,2520,2520,2520,2520,4.41,3.45,1.15,10.34
0.8,2.8292600993592374,2.2119669867717677,100.85491063730144,-0.41,0.66,2580,2580,2580,2580,4.87,3.8,1.19,10.34
0.9,3.3661614019836947,2.6317261870054343,100.97764433284098,-0.41,0.66,2640,2640,2640,2640,5.37,4.2,1.23,10.34
1.0,3.958576027214479,3.0948867121858656,101.1042856572306,-0.41,0.66,2700,2700,2700,2700,5.92,4.63,1.27,10.34
1.1,4.612243817685106,3.6059360756447196,101.23495902262268,-0.41,0.66,2760,2760,2760,2760,6.54,5.11,1.31,10.34
1.2,5.333498091467252,4.169825780601671,101.36979280223757,-0.41,0.66,2820,2820,2820,2820,7.21,5.64,1.35,10.34
1.3,6.129327004919562,4.792019294755295,101.50891945647726,-0.41,0.66,2880,2880,2880,2880,7.96,6.22,1.39,10.34
1.4,6.943886276090186,5.428856543125056,101.65247566305408,-0.41,0.66,2940,2940,2940,2940,8.15,6.37,1.44,10.34
1.5,7.758445547260811,6.065693791494817,101.80060245126262,-0.41,0.66,3000,3000,3000,3000,8.15,6.37,1.48,10.34
1.6,8.573004818431436,6.702531039864578,101.95344534052661,-0.41,0.66,3060,3060,3060,3060,8.15,6.37,1.53,10.34
1.7,9.38756408960206,7.339368288234339,102.11115448335684,-0.41,0.66,3120,3120,3120,3120,8.15,6.37,1.58,10.34
1.8,10.202123360772685,7.9762055366041,102.27388481286067,-0.41,0.66,3180,3180,3180,3180,8.15,6.37,1.63,10.34
1.9,11.01668263194331,8.61304278497386,102.44179619494795,-0.41,0.66,3240,3240,3240,3240,8.15,6.37,1.68,10.34
2.0,11.831241903113934,9.24988003334362,102.61505358538295,-0.41,0.66,3300,3300,3300,3300,8.15,6.37,1.73,10.34
2.1,12.645801174284559,9.88671728171338,102.79382719183653,-0.42,0.66,3360,3360,3360,3360,8.15,6.37,1.79,10.34
2.2,13.460360445455184,10.52355453008314,102.97829264109772,-0.42,0.66,3420,3420,3420,3420,8.15,6.37,1.84,10.34
2.3,14.274919716625808,11.160391778452901,103.16863115160919,-0.42,0.66,3480,3480,3480,3480,8.15,6.37,1.9,10.34
2.4,15.089478987796433,11.797229026822661,103.36502971149574,-0.42,0.66,3420,3420,3420,3420,8.15,6.37,1.96,10.34
2.5,15.904038258967057,12.434066275192421,103.56768126226106,-0.42,0.66,3480,3480,3480,3480,8.15,6.37,2.03,10.34
2.6,16.718597530137682,13.070903523562182,103.77678488833303,-0.42,0.66,3540,3540,3540,3540,8.15,6.37,2.09,10.34
2.7,17.533156801308305,13.707740771931942,103.99254601264377,-0.42,0.66,3480,3480,3480,3480,8.15,6.37,2.16,10.34
2.8,18.347716072478928,14.344578020301702,104.21517659843677,-0.42,0.66,3540,3540,3540,3540,8.15,6.37,2.23,10.34
2.9,19.16227534364955,14.981415268671462,104.44489535749898,-0.42,0.66,3600,3600,3600,3600,8.15,6.37,2.3,10.34
3.0,19.976834614820174,15.618252517041222,104.68192796502284,-0.42,0.66,3540,3540,3540,3540,8.15,6.37,2.37,10.34
3.1,20.791393885990797,16.255089765410982,104.9265072813091,-0.42,0.66,3600,3600,3600,3600,8.15,6.37,2.45,10.34
3.2,21.60595315716142,16.891927013780744,105.17887358052822,-0.42,0.66,3660,3660,3660,3660,8.15,6.37,2.52,10.34
3.3,22.420512428332042,17.528764262150506,105.43927478676517,-0.42,0.66,3600,3600,3600,3600,8.15,6.37,2.6,10.34
3.4,23.235071699502665,18.16560151052027,105.70796671757954,-0.42,0.66,3660,3660,3660,3660,8.15,6.37,2.69,10.34
3.5,24.049630970673288,18.80243875889003,105.98521333532008,-0.42,0.66,3720,3720,3720,3720,8.15,6.37,2.77,10.34
3.6,24.86419024184391,19.439276007259792,106.27128700644077,-0.42,0.66,3706,3706,3706,3706,8.15,6.37,2.86,10.34
3.7,25.678749513014534,20.076113255629554,106.56646876907297,-0.43,0.66,3766,3766,3766,3766,8.15,6.37,2.95,10.34
3.8,26.493308784185157,20.712950503999316,106.87104860911664,-0.43,0.66,3785,3785,3785,3785,8.15,6.37,3.05,10.34
3.9,27.30786805535578,21.349787752369078,107.18532574512192,-0.43,0.66,3845,3845,3845,3845,8.15,6.37,3.14,10.34
