Time(s),X,Y,Z,Pitch,Yaw,FL,FR,RL,RR,Vx,Vy,Vz
5.2,55.154328932550754,55.154328932550754,58.96468361599999,0.17,0.79,1920,1920,1920,1920,10.61,10.61,2.76
5.3,56.21498910433058,56.21498910433058,59.19651558399999,0.18,0.79,1860,1860,1860,1860,10.61,10.61,2.32
5.4,57.2756492761104,57.2756492761104,59.381050751999986,0.19,0.79,1800,1800,1800,1800,10.61,10.61,1.85
5.5,58.33630944789022,58.33630944789022,59.518289119999984,0.19,0.79,1800,1800,1800,1800,10.61,10.61,1.37
5.6,59.396969619670045,59.396969619670045,59.608230687999985,0.2,0.79,1800,1800,1800,1800,10.61,10.61,0.9
5.7,60.45762979144987,60.45762979144987,59.65087545599999,0.21,0.79,1800,1800,1800,1800,10.61,10.61,0.43
5.8,61.51828996322969,61.51828996322969,59.646223423999984,0.22,0.79,1800,1800,1800,1800,10.61,10.61,-0.05
5.9,62.578950135009514,62.578950135009514,59.594274591999984,0.23,0.79,1800,1800,1800,1800,10.61,10.61,-0.52
6.0,63.639610306789336,63.639610306789336,59.495028959999985,0.24,0.79,1800,1800,1800,1800,10.61,10.61,-0.99
6.1,64.70027047856915,64.70027047856915,59.34848652799999,0.24,0.79,1800,1800,1800,1800,10.61,10.61,-1.47
6.2,65.76093065034897,65.76093065034897,59.154647295999986,0.25,0.79,1800,1800,1800,1800,10.61,10.61,-1.94
6.3,66.82159082212878,66.82159082212878,58.913511263999986,0.25,0.79,1800,1800,1800,1800,10.61,10.61,-2.41
6.4,67.8822509939086,67.8822509939086,58.62507843199999,0.26,0.79,1800,1800,1800,1800,10.61,10.61,-2.88
6.5,68.94291116568841,68.94291116568841,58.289348799999985,0.26,0.79,1800,1800,1800,1800,10.61,10.61,-3.36
6.6,70.00357133746823,70.00357133746823,57.906322367999984,0.26,0.79,1800,1800,1800,1800,10.61,10.61,-3.83
6.7,71.06423150924805,71.06423150924805,57.475999135999984,0.26,0.79,1800,1800,1800,1800,10.61,10.61,-4.3
6.8,72.12489168102786,72.12489168102786,56.99837910399999,0.26,0.79,1800,1800,1800,1800,10.61,10.61,-4.78
6.9,73.18555185280768,73.18555185280768,56.49837910399999,0.26,0.79,1800,1800,1800,1800,10.61,10.61,-5.0
7.0,74.24621202458749,74.24621202458749,55.99837910399999,0.25,0.79,1800,1800,1800,1800,10.61,10.61,-5.0
7.1,75.30687219636731,75.30687219636731,55.49837910399999,0.25,0.79,1800,1800,1800,1800,10.61,10.61,-5.0
7.2,76.36753236814712,76.36753236814712,54.99837910399999,0.24,0.79,1800,1800,1800,1800,10.61,10.61,-5.0
7.3,77.42819253992694,77.42819253992694,54.49837910399999,0.24,0.79,1860,1860,1860,1860,10.61,10.61,-5.0
7.4,78.43925991761424,78.43925991761424,53.99837910399999,0.23,0.79,1920,1920,1920,1920,10.11,10.11,-5.0
7.5,79.37449724197499,79.37449724197499,53.49837910399999,0.22,0.79,1980,1980,1980,1980,9.35,9.35,-5.0
7.6,80.23959176700869,80.23959176700869,52.99837910399999,0.21,0.79,2040,2040,2040,2040,8.65,8.65,-5.0
7.7,81.03980420266485,81.03980420266485,52.49837910399999,0.2,0.79,2100,2100,2100,2100,8.0,8.0,-5.0
7.8,81.78000070564681,81.78000070564681,51.99837910399999,0.18,0.79,2160,2160,2160,2160,7.4,7.4,-5.0
7.9,82.46468247090512,82.46468247090512,51.49837910399999,0.15,0.79,2220,2220,2220,2220,6.85,6.85,-5.0
8.0,83.09801310376905,83.09801310376905,50.99837910399999,0.12,0.79,2280,2280,2280,2280,6.33,6.33,-5.0
8.1,83.68384393916818,83.68384393916818,50.49837910399999,0.09,0.79,2340,2340,2340,2340,5.86,5.86,-5.0
8.2,84.22573746191239,84.22573746191239,49.99837910399999,0.05,0.79,2400,2400,2400,2400,5.42,5.42,-5.0
8.3,84.72698897045078,84.72698897045078,49.49837910399999,-0.0,0.79,2460,2460,2460,2460,5.01,5.01,-5.0
8.4,85.19064661584879,85.19064661584879,48.99985337599999,-0.06,0.79,2520,2520,2520,2520,4.64,4.64,-4.99
8.5,85.61952993784195,85.61952993784195,48.50759999999999,-0.12,0.79,2580,2580,2580,2580,4.29,4.29,-4.92
8.6,86.01624701068562,86.01624701068562,48.02652995199999,-0.2,0.79,2640,2640,2640,2640,3.97,3.97,-4.81
8.7,86.38321030306601,86.38321030306601,47.56166710399999,-0.28,0.79,2700,2700,2700,2700,3.67,3.67,-4.65
8.8,86.72265134851787,86.72265134851787,47.11814822399999,-0.36,0.79,2760,2760,2760,2760,3.39,3.39,-4.44
8.9,87.03663431556085,87.03663431556085,46.70122297599999,-0.45,0.79,2820,2820,2820,2820,3.14,3.14,-4.17
9.0,87.3270685600756,87.3270685600756,46.31625391999999,-0.54,0.79,2880,2880,2880,2880,2.9,2.9,-3.85
9.1,87.59572023625175,87.59572023625175,45.968716511999986,-0.63,0.79,2940,2940,2940,2940,2.69,2.69,-3.48
9.2,87.84422303671468,87.84422303671468,45.664199103999984,-0.71,0.79,3000,3000,3000,3000,2.49,2.49,-3.05
9.3,88.0740881271429,88.0740881271429,45.40840294399998,-0.79,0.79,3060,3060,3060,3060,2.3,2.3,-2.56
9.4,88.286713335789,88.286713335789,45.207142175999984,-0.85,0.79,3120,3120,3120,3120,2.13,2.13,-2.01
9.5,88.48339165378664,88.48339165378664,45.06634383999998,-0.91,0.79,3180,3180,3180,3180,1.97,1.97,-1.41
9.6,88.66531909793446,88.66531909793446,44.99204787199998,-0.96,0.79,3240,3240,3240,3240,1.82,1.82,-0.74
9.7,88.83360198377119,88.83360198377119,44.99040710399998,-1.01,0.79,3300,3300,3300,3300,1.68,1.68,-0.02
9.8,88.98926365317017,88.98926365317017,45.06768726399998,-1.04,0.79,3360,3360,3360,3360,1.56,1.56,0.77
9.9,89.13325069736422,89.13325069736422,45.23026697599998,-1.07,0.79,3420,3420,3420,3420,1.44,1.44,1.63
10.0,89.26643871324372,89.26643871324372,45.484637759999984,-1.09,0.79,3480,3480,3480,3480,1.33,1.33,2.54
10.1,89.38963762793226,89.38963762793226,45.83740403199998,-1.1,0.79,3540,3540,3540,3540,1.23,1.23,3.53
10.2,89.50359662401915,89.50359662401915,46.281961375999984,-1.09,0.79,3480,3480,3480,3480,1.14,1.14,4.45
10.3,89.60900869539954,89.60900869539954,46.781961375999984,-1.08,0.79,3420,3420,3420,3420,1.05,1.05,5.0
10.4,89.70651486142638,89.70651486142638,47.281961375999984,-1.05,0.79,3360,3360,3360,3360,0.98,0.98,5.0
10.5,89.79670806500123,89.79670806500123,47.781961375999984,-1.01,0.79,3300,3300,3300,3300,0.9,0.9,5.0
10.6,89.88013677830796,89.88013677830796,48.281961375999984,-0.95,0.79,3240,3240,3240,3240,0.83,0.83,5.0
10.7,90.94079695008777,90.94079695008777,48.781961375999984,-0.01,0.79,3180,3180,3180,3180,10.61,10.61,5.0
10.8,92.00145712186759,92.00145712186759,49.281961375999984,-0.01,0.79,3120,3120,3120,3120,10.61,10.61,5.0
10.9,93.0621172936474,93.0621172936474,49.781961375999984,-0.01,0.79,3060,3060,3060,3060,10.61,10.61,5.0
11.0,94.12277746542722,94.12277746542722,50.281961375999984,-0.0,0.79,3000,3000,3000,3000,10.61,10.61,5.0
11.1,95.18343763720704,95.18343763720704,50.781961375999984,0.0,0.79,2940,2940,2940,2940,10.61,10.61,5.0
11.2,96.24409780898685,96.24409780898685,51.281961375999984,0.01,0.79,2880,2880,2880,2880,10.61,10.61,5.0
11.3,97.30475798076667,97.30475798076667,51.781961375999984,0.01,0.79,2820,2820,2820,2820,10.61,10.61,5.0
11.4,98.36541815254648,98.36541815254648,52.281961375999984,0.01,0.79,2760,2760,2760,2760,10.61,10.61,5.0
11.5,99.4260783243263,99.4260783243263,52.781961375999984,0.02,0.79,2700,2700,2700,2700,10.61,10.61,5.0
11.6,100.48673849610611,100.48673849610611,53.281961375999984,0.02,0.79,2640,2640,2640,2640,10.61,10.61,5.0
11.7,101.54739866788593,101.54739866788593,53.781961375999984,0.03,0.79,2580,2580,2580,2580,10.61,10.61,5.0
11.8,102.60805883966574,102.60805883966574,54.281961375999984,0.03,0.79,2520,2520,2520,2520,10.61,10.61,5.0
11.9,103.66871901144556,103.66871901144556,54.778750463999984,0.04,0.79,2460,2460,2460,2460,10.61,10.61,4.97
12.0,104.72937918322538,104.72937918322538,55.267756351999985,0.04,0.79,2400,2400,2400,2400,10.61,10.61,4.89
12.1,105.79003935500519,105.79003935500519,55.74451964799999,0.05,0.79,2340,2340,2340,2340,10.61,10.61,4.77
12.2,106.85069952678501,106.85069952678501,56.204693855999984,0.05,0.79,2280,2280,2280,2280,10.61,10.61,4.6
12.3,107.91135969856482,107.91135969856482,56.64404537599999,0.06,0.79,2220,2220,2220,2220,10.61,10.61,4.39
12.4,108.97201987034464,108.97201987034464,57.058453503999985,0.06,0.79,2160,2160,2160,2160,10.61,10.61,4.14
12.5,110.03268004212445,110.03268004212445,57.44391043199998,0.07,0.79,2100,2100,2100,2100,10.61,10.61,3.85
12.6,111.09334021390427,111.09334021390427,57.79652124799998,0.07,0.79,2040,2040,2040,2040,10.61,10.61,3.53
12.7,112.15400038568409,112.15400038568409,58.11250393599998,0.08,0.79,1980,1980,1980,1980,10.61,10.61,3.16
12.8,113.2146605574639,113.2146605574639,58.38818937599998,0.08,0.79,1920,1920,1920,1920,10.61,10.61,2.76
12.9,114.27532072924372,114.27532072924372,58.62002134399998,0.09,0.79,1860,1860,1860,1860,10.61,10.61,2.32
13.0,115.33598090102353,115.33598090102353,58.80455651199998,0.09,0.79,1800,1800,1800,1800,10.61,10.61,1.85
13.1,116.39664107280335,116.39664107280335,58.941794879999975,0.09,0.79,1800,1800,1800,1800,10.61,10.61,1.37
13.2,117.45730124458316,117.45730124458316,59.031736447999975,0.1,0.79,1800,1800,1800,1800,10.61,10.61,0.9
13.3,118.51796141636298,118.51796141636298,59.07438121599998,0.1,0.79,1800,1800,1800,1800,10.61,10.61,0.43
13.4,119.5786215881428,119.5786215881428,59.069729183999975,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-0.05
13.5,120.63928175992261,120.63928175992261,59.017780351999974,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-0.52
13.6,121.69994193170243,121.69994193170243,58.918534719999975,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-0.99
13.7,122.76060210348224,122.76060210348224,58.77199228799998,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-1.47
13.8,123.82126227526206,123.82126227526206,58.57815305599998,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-1.94
13.9,124.88192244704187,124.88192244704187,58.33701702399998,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-2.41
14.0,125.94258261882169,125.94258261882169,58.04858419199998,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-2.88
14.1,127.0032427906015,127.0032427906015,57.712854559999975,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-3.36
14.2,128.06390296238132,128.06390296238132,57.329828127999974,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-3.83
14.3,129.12456313416115,129.12456313416115,56.899504895999975,0.1,0.79,1800,1800,1800,1800,10.61,10.61,-4.3
14.4,130.18522330594098,130.18522330594098,56.42188486399998,0.09,0.79,1800,1800,1800,1800,10.61,10.61,-4.78
14.5,131.2458834777208,131.2458834777208,55.92188486399998,0.09,0.79,1800,1800,1800,1800,10.61,10.61,-5.0
14.6,132.30654364950064,132.30654364950064,55.42188486399998,0.08,0.79,1800,1800,1800,1800,10.61,10.61,-5.0
14.7,133.36720382128047,133.36720382128047,54.92188486399998,0.08,0.79,1800,1800,1800,1800,10.61,10.61,-5.0
14.8,134.4278639930603,134.4278639930603,54.42188486399998,0.07,0.79,1800,1800,1800,1800,10.61,10.61,-5.0
14.9,135.48852416484013,135.48852416484013,53.92188486399998,0.07,0.79,1800,1800,1800,1800,10.61,10.61,-5.0
15.0,136.54918433661996,136.54918433661996,53.42188486399998,0.06,0.79,1860,1860,1860,1860,10.61,10.61,-5.0
15.1,137.6098445083998,137.6098445083998,52.92188486399998,0.05,0.79,1920,1920,1920,1920,10.61,10.61,-5.0
15.2,138.67050468017962,138.67050468017962,52.42188486399998,0.05,0.79,1980,1980,1980,1980,10.61,10.61,-5.0
15.3,139.73116485195945,139.73116485195945,51.92188486399998,0.04,0.79,2040,2040,2040,2040,10.61,10.61,-5.0
15.4,140.79182502373928,140.79182502373928,51.42188486399998,0.03,0.79,2100,2100,2100,2100,10.61,10.61,-5.0
15.5,141.8524851955191,141.8524851955191,50.92188486399998,0.02,0.79,2160,2160,2160,2160,10.61,10.61,-5.0
15.6,142.91314536729894,142.91314536729894,50.42188486399998,0.02,0.79,2220,2220,2220,2220,10.61,10.61,-5.0
15.7,143.97380553907877,143.97380553907877,49.92188486399998,0.01,0.79,2280,2280,2280,2280,10.61,10.61,-5.0
15.8,145.0344657108586,145.0344657108586,49.42188486399998,-0.0,0.79,2340,2340,2340,2340,10.61,10.61,-5.0
15.9,146.09512588263843,146.09512588263843,48.92188486399998,-0.01,0.79,2400,2400,2400,2400,10.61,10.61,-5.0
16.0,147.15578605441826,147.15578605441826,48.42188486399998,-0.02,0.79,2460,2460,2460,2460,10.61,10.61,-5.0
16.1,148.2164462261981,148.2164462261981,47.92335913599998,-0.03,0.79,2520,2520,2520,2520,10.61,10.61,-4.99
16.2,149.27710639797792,149.27710639797792,47.43110575999998,-0.04,0.79,2580,2580,2580,2580,10.61,10.61,-4.92
16.3,150.33776656975775,150.33776656975775,46.95003571199998,-0.06,0.79,2640,2640,2640,2640,10.61,10.61,-4.81
16.4,151.39842674153758,151.39842674153758,46.48517286399998,-0.07,0.79,2700,2700,2700,2700,10.61,10.61,-4.65
16.5,152.4590869133174,152.4590869133174,46.04165398399998,-0.08,0.79,2760,2760,2760,2760,10.61,10.61,-4.44
16.6,153.51974708509724,153.51974708509724,45.62472873599998,-0.1,0.79,2820,2820,2820,2820,10.61,10.61,-4.17
16.7,154.58040725687707,154.58040725687707,45.23975967999998,-0.11,0.79,2880,2880,2880,2880,10.61,10.61,-3.85
16.8,155.6410674286569,155.6410674286569,44.89222227199998,-0.12,0.79,2940,2940,2940,2940,10.61,10.61,-3.48
16.9,156.70172760043673,156.70172760043673,44.587704863999974,-0.14,0.79,3000,3000,3000,3000,10.61,10.61,-3.05
17.0,157.76238777221656,157.76238777221656,44.33190870399997,-0.15,0.79,3060,3060,3060,3060,10.61,10.61,-2.56
17.1,158.8230479439964,158.8230479439964,44.130647935999974,-0.17,0.79,3120,3120,3120,3120,10.61,10.61,-2.01
17.2,159.88370811577622,159.88370811577622,43.98984959999997,-0.18,0.79,3180,3180,3180,3180,10.61,10.61,-1.41
17.3,160.94436828755605,160.94436828755605,43.91555363199997,-0.19,0.79,3240,3240,3240,3240,10.61,10.61,-0.74
17.4,162.00502845933588,162.00502845933588,43.91391286399997,-0.2,0.79,3300,3300,3300,3300,10.61,10.61,-0.02
17.5,163.0656886311157,163.0656886311157,43.99119302399997,-0.21,0.79,3360,3360,3360,3360,10.61,10.61,0.77
17.6,164.12634880289554,164.12634880289554,44.15377273599997,-0.22,0.79,3420,3420,3420,3420,10.61,10.61,1.63
17.7,165.18700897467536,165.18700897467536,44.408143519999975,-0.23,0.79,3480,3480,3480,3480,10.61,10.61,2.54
17.8,166.2476691464552,166.2476691464552,44.76090979199997,-0.23,0.79,3540,3540,3540,3540,10.61,10.61,3.53
17.9,167.30832931823502,167.30832931823502,45.21878886399997,-0.23,0.79,3600,3600,3600,3600,10.61,10.61,4.58
18.0,168.36898949001485,168.36898949001485,45.71878886399997,-0.23,0.79,3540,3540,3540,3540,10.61,10.61,5.0
18.1,169.37767891462738,169.37767891462738,46.21878886399997,-0.22,0.79,3480,3480,3480,3480,10.09,10.09,5.0
18.2,170.31071663239396,170.31071663239396,46.71878886399997,-0.21,0.79,3420,3420,3420,3420,9.33,9.33,5.0
18.3,171.17377652132805,171.17377652132805,47.21878886399997,-0.2,0.79,3360,3360,3360,3360,8.63,8.63,5.0
18.4,171.9721069185921,171.9721069185921,47.71878886399997,-0.18,0.79,3300,3300,3300,3300,7.98,7.98,5.0
18.5,172.71056253606133,172.71056253606133,48.21878886399997,-0.16,0.79,3240,3240,3240,3240,7.38,7.38,5.0
18.6,173.39363398222036,173.39363398222036,48.71878886399997,-0.14,0.79,3180,3180,3180,3180,6.83,6.83,5.0
18.7,174.02547506991746,174.02547506991746,49.21878886399997,-0.11,0.79,3120,3120,3120,3120,6.32,6.32,5.0
18.8,174.60992807603728,174.60992807603728,49.71878886399997,-0.07,0.79,3060,3060,3060,3060,5.84,5.84,5.0
18.9,175.15054710669813,175.15054710669813,50.21878886399997,-0.03,0.79,3000,3000,3000,3000,5.41,5.41,5.0
19.0,175.6506197100594,175.6506197100594,50.71878886399997,0.02,0.79,2940,2940,2940,2940,5.0,5.0,5.0
19.1,176.11318686816858,176.11318686816858,51.21878886399997,0.08,0.79,2880,2880,2880,2880,4.63,4.63,5.0
19.2,176.54106148941958,176.54106148941958,51.71878886399997,0.15,0.79,2820,2820,2820,2820,4.28,4.28,5.0
19.3,176.93684551407674,176.93684551407674,52.21878886399997,0.23,0.79,2760,2760,2760,2760,3.96,3.96,5.0
19.4,177.30294573688462,177.30294573688462,52.71878886399997,0.31,0.79,2700,2700,2700,2700,3.66,3.66,5.0
19.5,177.6415884429819,177.6415884429819,53.21878886399997,0.4,0.79,2640,2640,2640,2640,3.39,3.39,5.0
19.6,177.9548329461219,177.9548329461219,53.71878886399997,0.5,0.79,2580,2580,2580,2580,3.13,3.13,5.0
19.7,178.2445841115264,178.2445841115264,54.21878886399997,0.6,0.79,2520,2520,2520,2520,2.9,2.9,5.0
19.8,178.51260393952555,178.51260393952555,54.71557795199997,0.7,0.79,2460,2460,2460,2460,2.68,2.68,4.97
19.9,178.76052228042477,178.76052228042477,55.20458383999997,0.79,0.79,2400,2400,2400,2400,2.48,2.48,4.89
20.0,178.98984674575655,178.98984674575655,55.68134713599997,0.88,0.79,2340,2340,2340,2340,2.29,2.29,4.77
20.1,179.20197187618845,179.20197187618845,56.14152134399997,0.96,0.79,2280,2280,2280,2280,2.12,2.12,4.6
20.2,179.39818762183796,179.39818762183796,56.58087286399997,1.03,0.79,2220,2220,2220,2220,1.96,1.96,4.39
20.3,179.57968718656375,179.57968718656375,56.99528099199997,1.09,0.79,2160,2160,2160,2160,1.81,1.81,4.14
20.4,179.7475742839351,179.7475742839351,57.380737919999966,1.15,0.79,2100,2100,2100,2100,1.68,1.68,3.85
20.5,179.90286984900362,179.90286984900362,57.73334873599997,1.19,0.79,2040,2040,2040,2040,1.55,1.55,3.53
20.6,180.046518246692,180.046518246692,58.049331423999966,1.23,0.79,1980,1980,1980,1980,1.44,1.44,3.16
20.7,180.17939301455374,180.17939301455374,58.32501686399996,1.27,0.79,1920,1920,1920,1920,1.33,1.33,2.76
20.8,180.30230217482585,180.30230217482585,58.556848831999964,1.3,0.79,1860,1860,1860,1860,1.23,1.23,2.32
20.9,180.41599314807755,180.41599314807755,58.74138399999996,1.33,0.79,1800,1800,1800,1800,1.14,1.14,1.85
21.0,180.52115729833537,180.52115729833537,58.87862236799996,1.35,0.79,1800,1800,1800,1800,1.05,1.05,1.37
21.1,180.61843413732385,180.61843413732385,58.96856393599996,1.37,0.79,1800,1800,1800,1800,0.97,0.97,0.9
21.2,180.7084152133882,180.7084152133882,59.01120870399996,1.38,0.79,1800,1800,1800,1800,0.9,0.9,0.43
21.3,180.79164770874772,180.79164770874772,59.00655667199996,1.4,0.79,1800,1800,1800,1800,0.83,0.83,-0.05
21.4,180.8686377669553,180.8686377669553,58.95460783999996,1.41,0.79,1800,1800,1800,1800,0.77,0.77,-0.52
21.5,180.93985357079728,180.93985357079728,58.85536220799996,1.42,0.79,1800,1800,1800,1800,0.71,0.71,-0.99
21.6,181.00572818935112,181.00572818935112,58.70881977599996,1.43,0.79,1800,1800,1800,1800,0.66,0.66,-1.47
21.7,181.06666221151343,181.06666221151343,58.51498054399996,1.44,0.79,1800,1800,1800,1800,0.61,0.61,-1.94
21.8,181.12302618201355,181.12302618201355,58.27384451199996,1.45,0.79,1800,1800,1800,1800,0.56,0.56,-2.41
21.9,181.17516285472615,181.17516285472615,57.98541167999996,1.45,0.79,1800,1800,1800,1800,0.52,0.52,-2.88
22.0,181.22338927698533,181.22338927698533,57.64968204799996,1.46,0.79,1800,1800,1800,1800,0.48,0.48,-3.36
22.1,181.26799871757507,181.26799871757507,57.26665561599996,1.46,0.79,1800,1800,1800,1800,0.45,0.45,-3.83
22.2,181.30926245012057,181.30926245012057,56.83633238399996,1.46,0.79,1800,1800,1800,1800,0.41,0.41,-4.3
22.3,181.34743140272516,181.34743140272516,56.35871235199996,1.47,0.79,1800,1800,1800,1800,0.38,0.38,-4.78
22.4,181.38273768388441,181.38273768388441,55.85871235199996,1.47,0.79,1800,1800,1800,1800,0.35,0.35,-5.0
22.5,181.4153959939567,181.4153959939567,55.35871235199996,1.47,0.79,1800,1800,1800,1800,0.33,0.33,-5.0
22.6,181.44560493077358,181.44560493077358,54.85871235199996,1.46,0.79,1800,1800,1800,1800,0.3,0.3,-5.0
22.7,181.4735481973292,181.4735481973292,54.35871235199996,1.46,0.79,1800,1800,1800,1800,0.28,0.28,-5.0
